iter,theta_naive,theta_dml_of,theta_dml_cf
0,0.37420612751510696,-0.04459475503024625,0.44865527754185097
1,0.4766436561448576,-0.014506401876865992,0.5708758422936557
2,0.3112152121311123,-0.028669549298630376,0.530492584909434
3,0.3458784471928389,0.04110673688981339,0.5230521881491783
4,0.27008754530136897,0.00023711291331220347,0.525501202291131
5,0.37279951893301666,0.03403801624257685,0.459250019531717
6,0.4976704838659647,-0.0032378002943777863,0.5536331608542597
7,0.36706101157444165,-0.06802871850303963,0.5159271705967978
8,0.41038099637076236,-0.018204664064341836,0.5052282351714068
9,0.4247477834246397,0.038984644764346474,0.5451274780831102
10,0.42254172553822206,0.04533467206649694,0.5176606390130195
11,0.33916506216911363,0.009209061497871516,0.4482044105973009
12,0.367179683113457,0.003239638971709778,0.48294057666465284
13,0.3747607651886183,0.13943197576931768,0.5456830812996278
14,0.43763694421543575,0.03806552310151963,0.4982643546491616
15,0.3143609720309374,-0.02367044692193743,0.4562108767267181
16,0.3827141238056662,0.0062642737290838834,0.5471572025185942
17,0.449550166284679,0.07156665957155955,0.5231560563600336
18,0.4142506801914751,0.028016932270217385,0.5024191762809079
19,0.3278555137500653,0.12761281957778717,0.5292020687291198
20,0.3625318721669507,-0.10543384644140576,0.5131419637551228
21,0.4014551686316224,0.06337853380350601,0.5544002535765973
22,0.38110813864251336,0.06452554763404159,0.48798368380747564
23,0.3207197533050793,-0.12836602734519686,0.49356136453334587
24,0.3472882229132702,0.06886428230280485,0.528324929073837
25,0.4370316888372123,-0.028011535404836408,0.5498488486594079
26,0.3295548184226421,-0.007899129125697103,0.4981747327741134
27,0.4025063193527063,0.15107151243635117,0.5739110670110739
28,0.32766506865215794,0.07480380633989704,0.42310273320921615
29,0.4801858908095214,0.009442783850777852,0.4900638420367402
30,0.32515396714686784,0.028966791750292747,0.5035309830475514
31,0.3170244156217933,-0.09414134076900332,0.5378137831406864
32,0.43093140206359976,-0.1388985242206893,0.4942143150160367
33,0.22925227795903208,0.04123397315070734,0.5216686878075659
34,0.30890047465729403,0.06102641433641225,0.43887521396485024
35,0.35281678396389354,-0.09555725004779116,0.5431992881247691
36,0.4253006897103228,0.01980978432471075,0.46560041247708017
37,0.38790752143045293,-0.1369426585216174,0.584696987208444
38,0.32170884071484007,0.05712247431641665,0.5051552636459677
39,0.4140192982542609,0.032739652878515886,0.5723572550105517
40,0.5294143007874017,0.049960391474364166,0.6374559614523052
41,0.4050263491313572,0.011285419657180159,0.516943250302041
42,0.316262396555563,-0.011497667312682822,0.48865562036818483
43,0.3313450158653028,0.08900267132460199,0.47576076769360803
44,0.4122353264015951,0.03454532307671595,0.5259248596143897
45,0.3363911080615564,0.0975670711105024,0.46755800642119255
46,0.41150575729608924,0.01535776026181147,0.5001453628458158
47,0.3382411741069128,0.10015504751064777,0.4609350583653469
48,0.4672445151498916,0.01817261455879196,0.5314292979394782
49,0.29998529125392187,0.03256409743297767,0.4737230209085517
50,0.3317345899979748,-0.05205177782970034,0.47788468710194015
51,0.4043097228541875,-0.006971721973970756,0.5423905148723722
52,0.35509644369280197,-0.07492647607304273,0.5991437882141235
53,0.48118743126563623,0.018018070914979766,0.6051451253414474
54,0.41021313698288947,-0.019789719810996316,0.5621342804446385
55,0.4377252934292763,0.0062427081193913835,0.5069085645023953
56,0.33691541152164206,0.06651775757757046,0.5070252054767288
57,0.33690539643953393,0.05046771763051684,0.4812842935800484
58,0.4181821731296315,0.07326127762794346,0.6631879012381288
59,0.38788958212958274,-0.05664567782334455,0.5432949379703862
60,0.34364090278189924,0.0010126626414658894,0.552342624251623
61,0.456088765597326,0.1587471381955638,0.5826814855789182
62,0.43913835013466845,0.0003872160158982431,0.49512813722124854
63,0.3091036417026006,0.022663107109783347,0.5012102061234037
64,0.4150918924578617,-0.023077752961616484,0.5064741266171341
65,0.36756950121322834,-0.11594900119423657,0.5339318084046709
66,0.41567200993406794,-0.02655472285233168,0.5485922841450405
67,0.22881229932054867,-0.02003378436159185,0.4977592270160279
68,0.36885986717214375,0.01259564796048821,0.555210214135236
69,0.27571556658148993,0.017447214509330886,0.4789096708927761
70,0.45965296767194574,-0.1069955417057521,0.5102545833950676
71,0.4004419533932758,0.044474131533878594,0.47893551785089244
72,0.38222492945698944,0.02642395886580226,0.5648859017782105
73,0.28656401828748,-0.02583559548427115,0.4040079296582223
74,0.42994586267375623,-0.03953911989081232,0.5517052897746699
75,0.3697333440078419,-0.09036552861651498,0.47284042658859016
76,0.3206919447328933,-0.003260846301249051,0.4643538491755292
77,0.3967744937042023,-0.08524767863832154,0.47157427049111617
78,0.33718228239170467,-0.09460600904050251,0.47598422899527926
79,0.3817063694122448,-0.012249914913987357,0.4823542189910241
80,0.35404998564502577,0.08049066471507095,0.5188002035318314
81,0.3102647846744404,-0.005587435807411263,0.4369637960092618
82,0.26787248209350745,-0.013283880435090488,0.5946638868527766
83,0.3479025999693941,-0.05244276570595174,0.5269241801238423
84,0.3268172854730377,-0.05001763451608891,0.42433056945183645
85,0.41927763827322545,-0.021483886684226954,0.5060032012648606
86,0.2699828738213947,-0.08709933103919948,0.5380094476285064
87,0.3701925940969803,0.011816696006550421,0.471349857081785
88,0.3902539206214287,0.03112505957353313,0.47236090749051624
89,0.44322798649181144,0.013190682211413758,0.5314454878844826
90,0.44108940458885587,0.05631124677898443,0.5375707274199022
91,0.34628054977241507,0.1164621980125723,0.46496104347903955
92,0.4799708074404457,-0.0597425671119465,0.5545482290555684
93,0.32283241673358165,0.022889685517298045,0.4460238436397233
94,0.2964507658678608,1.8620578498533554e-06,0.51844529483836
95,0.4045916640510364,-0.00563882495171799,0.5713501653902724
96,0.36657901744857524,0.12044153124209156,0.5374873111237826
97,0.1637161561187568,0.12022426196982106,0.4623029314581378
98,0.3850984283662679,-0.022618009508306926,0.5088182382990344
99,0.281863615097176,0.15082723848281473,0.5462899999408121
