iter,theta_naive,theta_dml_of,theta_dml_cf
0,0.2687559389752371,-0.01030174042504207,0.22426545653869354
1,0.3600444833266957,0.0046314106110311205,0.2787608083720597
2,0.18178729725920376,-0.030849040238458095,0.34086032838284425
3,0.25021927591290327,-0.03091320425066765,0.3447206185142897
4,0.09888158967781542,-0.0213236591176174,0.2405866297593939
5,0.3656690083164381,0.06216845432698921,0.2620702344409924
6,0.39555486436989684,-0.0058468711783576585,0.32142890672548424
7,0.27934048538322614,-0.06349074669826066,0.30339621325719895
8,0.3511044894204259,0.067731829141124,0.32794296495984443
9,0.2664164137468381,0.05571023204964167,0.30492679899733477
10,0.3735356411452765,0.0016207681094357967,0.354009642472084
11,0.19801502897438605,0.03766121935312374,0.24325796013889303
12,0.236262096746238,0.0756855763735832,0.23338533552078747
13,0.2588706253487128,0.2217932367100524,0.2520775216462423
14,0.4866210715474978,-0.03709856345516817,0.2875741754229158
15,0.32294103963178,0.035611129496120546,0.21058422605172966
16,0.280235145758386,0.09398716338289222,0.2640485062397589
17,0.48695161282674465,0.03483590725618003,0.2973965780534175
18,0.3270463741076915,0.05995027512969627,0.30109559018392806
19,0.16344769264357997,0.08210275007773858,0.3223379647242338
20,0.30238099641963584,-0.08344361203012965,0.22746919599134077
21,0.31663787086961476,0.014603136602035991,0.3537649329792985
22,0.2997241519441671,0.027091222803798082,0.277017712586564
23,0.20693544609031556,-0.0892363761984615,0.24710032592843295
24,0.25276057785634887,0.060044655867751484,0.30678578999115813
25,0.3908338242189078,-0.08439150103304202,0.38298250240763376
26,0.32396493242499425,0.017145915806774385,0.25063846757617236
27,0.2948400289972563,0.11465372793449657,0.3706333569851516
28,0.29101416519134354,0.08072151679875114,0.25402121917372195
29,0.3502910415959236,0.019559245712522055,0.2500811215367013
30,0.1693011830416503,0.035385465190463976,0.35344899889784026
31,0.063903154936155,-0.0102292795657766,0.2900576528485388
32,0.37907489753165546,-0.11002785184578937,0.241806572965019
33,0.11485843620430987,-0.015219102640678049,0.26420984181603724
34,0.2716307860739452,0.03185859153780685,0.29489499789281576
35,0.37202359364204657,-0.12305826459501909,0.292209032838812
36,0.31771126350947504,-0.011818941679322592,0.2891084128531299
37,0.39324915055285004,-0.03444022328445552,0.32863376805113664
38,0.19884886950632724,0.04456081323698542,0.2673624813484155
39,0.3262253738947248,0.017567774576823132,0.28623177510281556
40,0.5029364418147819,-0.0022647116195395924,0.33585948638439206
41,0.22018567905766107,0.040520791924494336,0.2616725215156878
42,0.2777888418521376,-0.03086715299152625,0.22770461807309503
43,0.21108522311824274,0.11403936168143354,0.30520615514919963
44,0.27770234936819665,0.03289950523300377,0.33993516497027965
45,0.23048110491354018,0.1344309868299139,0.21323044087920767
46,0.26919167747417766,0.003634271424000231,0.2736153251414876
47,0.34527163829331314,0.14932812383598928,0.2662513365072606
48,0.49666857566695705,-0.0639613912526496,0.33680042168910324
49,0.16398488366970226,0.05840816337843538,0.29355389504980195
50,0.11459268679243542,-0.019789119843682593,0.25095305392394784
51,0.2445459925809537,-0.03611556361084387,0.3495277424467816
52,0.24077230932607857,-0.11345747709853035,0.32070757186876514
53,0.3916730257079893,-0.07894186005940601,0.27785943508428895
54,0.27407009920593517,-0.0263720472441488,0.32244852222941073
55,0.305193647115705,-0.0787259935859688,0.27233616144772893
56,0.23901987077630005,0.08767632960003181,0.32511127860032235
57,0.25418976020294815,-0.006081242610359498,0.21981856266560051
58,0.2474209274811523,0.055299884952514915,0.5358742721170174
59,0.26410537914856946,-0.064591802078217,0.24431112254561804
60,0.20049043902945962,0.07819967676566143,0.39054850624054893
61,0.4340459904075687,0.07242203249034834,0.3546501622488793
62,0.35708781977903825,0.042482679304014094,0.2210103359432909
63,0.2502810875274857,-0.012396263746699339,0.1999684056746629
64,0.3131952020309354,0.029642747772671615,0.3388698838837442
65,0.24106770303700148,-0.11119850086831415,0.25049697561979545
66,0.4101083727770508,0.06016610450119112,0.2747728185422734
67,0.12580809212808328,-0.10656692808902353,0.2606985903839187
68,0.2585986031464589,0.07832116958123389,0.30889473081744867
69,0.1290181101799314,0.056692760525713655,0.20580900928880608
70,0.4261765258957148,-0.03750258630667681,0.29627424150525455
71,0.288529508278529,0.010193519319651432,0.20755921880614817
72,0.21949878726404135,0.04503288392142628,0.3161247950713252
73,0.2760925734860938,-0.0693428698963934,0.13069687353029902
74,0.36998407713363374,-0.017583273236886056,0.271875964823519
75,0.2267791668417201,-0.10355562949283686,0.2534166772273815
76,0.19845040112386425,0.02739293501870364,0.23907878890527973
77,0.21648645047959875,-0.06592067319963482,0.2715508325462844
78,0.19048636739893957,-0.08132363604400575,0.2734694732311437
79,0.3175746325375389,-0.03851788245186591,0.20897344044276667
80,0.2603243600757343,0.08739775854173555,0.28112825721132145
81,0.21327576162839484,0.04372393983822947,0.23700306341530025
82,0.22919362658180215,-0.013895923185252934,0.28414171702053287
83,0.34234797824616947,-0.0558178869732706,0.37555635990785663
84,0.19051177201678718,-0.07594136434089094,0.29005982911200046
85,0.26680369345232835,-0.012480083244639652,0.3108412231145761
86,0.1897604201309456,-0.1476827001734809,0.23443931453113132
87,0.13438647579536667,0.029900498288448724,0.3290412043361702
88,0.25768201961239035,0.10317678247412006,0.3262606280415967
89,0.4192621938193264,0.05229199901030617,0.26216242703477854
90,0.24325415121344532,0.06830393917728092,0.33131419455386624
91,0.1837837340274929,0.054193702143450304,0.19351386290641304
92,0.43136744466136473,-0.008296337394991518,0.3028348195151526
93,0.12395527888859455,0.0026590566290155934,0.3076870028883224
94,0.11558631055019666,0.007331259565779204,0.35636360682667656
95,0.36134334739755436,-0.0030919258700940785,0.36387509031074355
96,0.18935982116168157,0.048076658351035965,0.1955304591293761
97,0.004153494706997181,0.07530530318847385,0.20156800945841513
98,0.29170852525368607,-0.0038758257180802856,0.2831236040295605
99,0.12514700182984526,0.05321561664379492,0.2961369892806757
